Home Educator Name,Email,University,Department,Experience,Location,Contact,Password,Rating
Abdullah Al Omar,omar@gamil.com,BUET,CSE,1,Dhanmondi,1740537161,omar1234,0
Md. Shopon,shopon@gamil.com,DU,CE,2,Gulshan,1740537162,shopon1234,0
Nayeema Sultana,nayeema@gmail.com,NSU,ME,3,Azimpur,1740537163,nayeema1234,0
S M Rafiuddin Rifat,rifat@gmail.com,BRAC,EEE,4,Badda,1540537164,rifat1234,0
Hasan Murad,murad@gmail.com,UAP,Pharmacy,5,Hazaribagh,1540537165,murad1234,0
Md. Nahiyan Uddin,nahiyan@gmail.com,MIST,CSE,1,Khilgaon,1540537166,nahiyan1234,0
Fahad Ahmed,fahad@gmail.com,BUP,Law,2,Mirpur,1840537167,fahad1234,0
Shebuti Rayana,rayana@gmail.com,IUB,Management,3,Jatrabari,1840537168,shebuti1234,0
Md Anit Khan,anit@gmail.com,ULAB,Accounting,4,Kalabagan,1840537169,anit1234,0
Taslima Akter,akter@gmail.com,DAFFODIL,Economics,5,Azimpur,1940537170,taslima1234,0
Md. Mohaimenul Hossain,hossain@gmail.com,JU,Genetics,1,Motijheel,1940537171,mohaimenul1234,0
 Md. Habibur Rahman,habibur@gmail.com,AUST,English,2,New Market,1940537172,habibur1234,0
Raisul Islam,raisul@gmail.com,UIU,EEE,3,Shahbagh,1640537173,raisul1234,0
Abdul Kawsar Tushar,tushar@gmail.com,AIUB,CE,4,Tejgaon,1640537174,tushar1234,0
Gazi Md. Hasnat Zahan,hasnat@gmail.com,JNU,IBA,5,Uttara,1640537175,hasnat1234,0
Sakib Hasan,sakib@gmail.com,EWU,Mathematics,1,New Market,1340537176,sakib1234,0
Tanmoy Sarkar Pias,pias@gamil.com,IUBAT,Chemistry,2,Gulshan,1340537177,pias1234,0
Mahatir Monjur,monjur@gmail.com,WU,Microbiology,3,Mirpur,1340537178,mahatir1234,0
Laboni Sarkar,laboni@gmail.com,BUET,CSE,4,Dhanmondi,1440537179,laboni1234,0
Md. Mohaiminul Islam,mohaiminul@gmail.com,DU,Pharmacy,5,Mahammadpur,1440537180,mohaiminul1234,0
