Outside Educator Name,Email,Institute,Designation,Location,Contact,Password,Rating
Md. Rajibul Islam,rajib@gmail.com,Dhaka College,Assistant Professor,Azimpur,1520103756,rajibul1234,0
Bilkis Jamal Ferdosi,bilkis@gmail.com,Dhaka City College,Professor,Badda,1520103757,bilkis1234,0
Aloke Kumar Saha,aloke@gmail.com,Admjee Cantoment College,Professor,Dhanmondi,1520103758,aloke1234,0
Shaila Rahman,shaila@gmail.com,B A F Shaheen College,Assistant Professor,Gulshan,1720103759,shaila1234,0
Shammi Akhtar,shammi@gmail.com,Notre Dame College,Assistant Professor,Hazaribagh,1720103760,shammi1234,0
Md. Akhtaruzzaman Adnan,adnan@gmail.com,Ideal College,Assistant Professor,Jatrabari,1720103761,adnan1234,0
A S Zaforullah Momtaz,momtaz@gmail.com,Rajuk Uttara Model College,Assistant Professor,Kalabagan,1820103762,momtaz1234,0
Molla Rashied Hussein,molla@gmail.com,Noor Mohammad College,Assistant Professor,Khilgaon,1820103763,molla1234,0
Nadeem Ahmed,nadeem@gmail.com,Residential Model College,Assistant Professor,Mirpur,1820103764,nadeem1234,0
Nasima Begum,nasima@gmail.com,Viqarunnisa College,Assistant Professor,Mahammadpur,1620103765,nasima1234,0
Md. Imran Bin Azad,azad@gmail.com,Munshi Abdur Rouf College,Assistant Professor,Motijheel,1620103766,imran1234,0
Tanjina Helaly,helaly@gmail.com,B A F Shaheen College,Assistant Professor,New Market,1620103767,helaly1234,0
Jahir Ibna Rafiq,rafiq@gmail.com,Ideal College,Assistant Professor,Shahbagh,1920103768,jahir1234,0
A S M Touhidul Hasan,touhid@gmail.com,Dhaka College,Assistant Professor,Tejgaon,1920103769,touhidul1234,0
Tahira Alam,tahira@gmail.com,Admjee Cantoment College,Assistant Professor,Uttara,1920103770,tahira1234,0
Md. Abdul Hamid,hamid@gmail.com,Dhaka City College,Professor,Azimpur,1320103771,abdul1234,0
Md. Rashedul Islam,rashedul@gmail.com,Notre Dame College,Associate Professor,Badda,1320103772,rashedul1234,0
Nahida Sultana Chowdhury,nahida@gmail.com,Rajuk Uttara Model College,Assistant Professor,Dhanmondi,1320103773,nahida1234,0
Sanjay Saha,sanjay@gmail.com,Viqarunnisa College,Assistant Professor,Gulshan,1420103774,sanjay1234,0
Ms. Anika Anwar,anwar@gmail.com,Noor Mohammad College,Assistant Professor,Hazaribagh,1420103775,anika1234,0
Shahera Hossain,shahera@gmail.com,Residential Model College,Assistant Professor,Jatrabari,1420103776,shahera1234,0
Hanif Bhuiyan,hanif@gmail.com,Munshi Abdur Rouf College,Assistant Professor,Kalabagan,1520103777,hanif1234,0
